,Muffat-FMG__1,Muffat-FMG__2,Muffat-FMG__1-NCM,Muffat-NPC__1,Muffat-NPC__2,Muffat-NPC__3,Muffat-NPC__4,Muffat-pMGL__1,Muffat-pMGL__2,Muffat-pMGL__31,Muffat-pMGL__32,Muffat-pMGL__4,Muffat-pMGL__5,Muffat-pMGL__1-NCM,Muffat-pMGL__2-NCM,Muffat-pMGL__3-NCM
MLLT4,380,456,900,1031,2263,4315,2105,1000,1138,1175,729,348,789,869,648,951
RP3-470B24.5,3,0,0,0,4,2,2,0,0,0,4,6,0,0,0,12
C6orf54,0,0,0,0,11,10,30,0,0,6,0,0,0,0,0,0
KIF25,0,4,4,18,6,11,2,0,0,20,30,0,0,0,2,20
FRMD1,0,0,0,9,1,0,0,0,0,5,0,0,0,0,0,0
RP11-503C24.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-503C24.2,2,7,0,6,10,26,11,0,0,0,0,0,0,0,0,0
RP11-503C24.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-503C24.4,0,0,0,8,7,2,2,0,0,0,0,0,0,0,0,0
RP11-503C24.5,2,0,2,0,2,0,0,4,0,0,2,0,0,6,10,2
DACT2,80,273,490,379,16,99,2,0,0,226,2,8,6,0,0,109
RP11-503C24.6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
RP1-39J2.1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
SMOC2,109,16,38,1100,154,178,67,1487,1401,15570,3795,320,310,1305,661,19247
RP1-125N5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-35J6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP3-495K2.3,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0
RP3-495K2.4,0,0,0,0,0,0,0,2,0,9,9,0,0,1,0,0
RP3-495K2.2,2,0,0,0,0,11,6,2,0,40,65,6,2,0,0,0
RP3-495K2.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
RP11-417E7.1,9,0,0,22,14,26,7,70,4,186,266,81,44,14,0,38
RP11-417E7.2,0,0,0,14,3,5,0,4,0,23,11,0,2,0,0,9
XXyac-YX65C7_A.2,23,16,74,20,35,85,20,20,19,9,38,2,10,41,36,4
THBS2,2136,940,2490,11243,2488,1498,1696,42399,1660,56694,172279,5233,29071,12222,390,23559
XXyac-YX65C7_A.3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
XXyac-YX65C7_A.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP1-137D17.1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4
RP1-137D17.2,0,0,0,1,0,0,7,0,0,2,0,0,0,0,0,0
WDR27,34,57,179,588,482,361,342,155,266,608,213,22,101,509,82,687
C6orf120,1863,2438,3187,2707,2651,1554,2069,2449,2693,3988,3952,3110,3114,2704,3128,4765
PHF10,772,620,1195,1273,1844,1959,1316,793,995,1732,1298,605,500,1658,552,1990
RP1-266L20.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RP1-266L20.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCTE3,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2
ERMARD,5,10,356,12,96,7,10,10,9,3,16,2,2,3,127,419
RP1-266L20.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
