,Jang-hESCs_Control_71,Jang-hESCs_Control_72,Jang-hESCs_Control_73,Jang-iPSCs_Control_74,Jang-iPSCs_Control_75,Jang-iPSCs_Control_76,Jang-iPSCs_AMN_77,Jang-iPSCs_AMN_78,Jang-iPSCs_AMN_79,Jang-iPSCs_CCALD_80,Jang-iPSCs_CCALD_81,Jang-iPSCs_CCALD_82
A1BG,6.7833455,6.7769580000000005,6.795812,6.7280809999999995,6.822617500000001,6.7330205,6.8025044999999995,6.777705,7.035105000000001,6.7181235,6.806478,6.807935499999999
A1BG-AS1,6.576109,6.533098000000001,6.452472,6.395807,6.646602000000001,6.512293,6.5483720000000005,6.485149,6.42736,6.250021,6.582812,6.435398
A1CF,6.410723,6.460726999999999,6.647603999999999,6.474361,6.461917,6.553724000000001,6.569535000000001,6.380732,6.583363,6.459121,6.50203,6.564174
A2M,6.296271,6.198797,6.267357,6.22699,6.397614,6.078723,6.265612,6.303778,6.102758000000001,6.176963,6.293784,6.317991
A2ML1,7.570930000000001,7.473169,7.149522,7.324126,7.0201970000000005,7.1289690000000006,7.336106,7.137465,6.722119,6.671977,6.959797999999999,6.954089
A3GALT2,6.4559685,6.5669765,6.4340915,6.4934544999999995,6.4077684999999995,6.3596765,6.509854,6.4745315,6.597158,6.5557025,6.5503265,6.569665
A4GALT,8.06024,8.743478,9.145304,8.279186,8.743478,8.307848,8.843392999999999,8.538321,9.417783,8.149326,7.981584,8.339839
A4GNT,7.099763,7.045207,7.130569,6.945616,7.074501,6.972003,7.257867999999999,7.039122,6.7784770000000005,7.108194999999999,6.9938649999999996,7.0253570000000005
AAAS,8.087041000000001,8.408978,8.345879,8.538501,8.602389,8.112159,8.783522999999999,8.306415,9.077437,8.088641,8.488699,8.310925
AACS,9.014178999999999,9.177496000000001,9.424946,9.199246,9.339222999999999,8.994257000000001,9.006607,9.068595,9.494361999999999,9.478255,9.078294,9.519145
AADAC,6.7557279999999995,6.6814789999999995,6.657567,6.77908,6.6293869999999995,6.776371000000001,6.713958,6.667655,6.803002,6.714094,6.67841,6.680697
AADACL2,6.681286,6.645778,6.737457000000001,6.557481,6.619786,6.673495,6.55434,6.728852000000001,6.607061999999999,6.724417,6.757225999999999,6.641118
AADACL3,6.5358730000000005,6.351705,6.426961,6.615332,6.638649000000001,6.4896910000000005,6.470002,6.469265,6.607947,6.566941,6.400648,6.560375
AADACL4,6.599695,6.492151,6.504544999999999,6.652353999999999,6.379557,6.458409,6.475257,6.479126,6.44091,6.469578,6.19304,6.42181
AADACP1,6.5922695000000004,6.480428,6.587519500000001,6.4464555,6.5135819999999995,6.490922,6.640055499999999,6.5533805,6.584915,6.51945,6.4852125,6.5581905
AADAT,6.661983,6.7097235,6.582413000000001,6.6902740000000005,6.575895,6.665501,6.4458785,6.6283270000000005,6.615922,6.736757000000001,6.555109,6.678767999999999
AAED1,7.953396000000001,8.024242999999998,8.229709,7.988999000000001,7.997941,7.852991,7.952884,7.955092,8.609712,8.137699000000001,8.188944000000001,8.092555
AAGAB,9.111302,9.161228999999999,8.594641000000001,8.095214,7.79405,7.926323,8.988986,9.079597999999999,8.216095,9.199983999999999,9.563303,9.182205999999999
AAK1,6.4969114999999995,6.49051,6.5239845,6.527444999999999,6.512969,6.549144,6.6396875,6.5571875,6.5211795,6.5704175000000005,6.570139,6.655083500000001
AAMDC,9.080076,9.097899,9.06073,9.270569,9.313688,9.464004,9.113747,9.481268,9.895439,9.632866,9.204559,9.610465
AAMP,9.304369,9.687717,10.011257,9.773091,9.688448,9.687717,9.556348,9.553358,10.353613000000001,9.609013000000001,9.614317999999999,9.746111
AANAT,6.346971,6.497016,6.647117999999999,6.499815,6.638461,6.5542869999999995,6.112445,6.516284,6.6850179999999995,6.476018,6.396414,6.334776000000001
AAR2,10.699883999999999,10.747094,10.503833,10.645616,10.538491,10.583515,10.709928999999999,10.575887,10.663599000000001,10.595089,10.782046000000001,10.708637
AARD,6.482174,6.808647000000001,6.81302,6.601814,6.656478,6.492961,6.545932,6.537458,6.519638,6.593605999999999,6.492151,6.683197
AARS,13.694170999999999,14.091512,14.166442000000002,13.609829000000001,13.921165,13.633229,14.162325,14.144578,14.191502,13.854052,13.985358999999999,13.748122
AARS2,9.186292,9.262030000000001,9.600619,9.248032,9.171869000000001,9.34946,9.278321,9.087626,9.653361,9.238037,9.31294,9.044111000000001
AASDH,8.460649,8.754866999999999,8.451428,8.256668,8.552299,8.334729,8.492552,8.451185,8.469329,8.119984,8.429289,8.035936
AASDHPPT,8.881719,8.309041,8.1971985,7.9851795,8.143489500000001,8.2442055,8.1928495,8.1599195,8.1191145,8.5362785,8.423697500000001,7.956504499999999
AASS,10.17155,10.245766,9.642149,10.7713955,10.568677000000001,10.729561,10.677329499999999,10.526156,9.3287215,10.529022,10.2567235,10.773261999999999
AATBC,6.428846,6.36134,6.3962699999999995,6.296549,6.43382,6.467664,6.416331,6.4621,6.63599,6.444922,6.52776,6.4272860000000005
AATF,9.992908,10.031756,10.113292999999999,10.257786999999999,10.236705,10.079055,10.034079,9.892137,10.055052,10.146533999999999,9.975106,10.173563
AATK,7.130400999999999,7.00121,7.066374000000001,7.155486,7.097227,6.958152,7.070935,7.064673,7.116125,6.766805000000001,6.815528,6.888358
ABAT,6.605019,6.634746000000001,6.659171000000001,6.652119,6.456265,6.809094,6.6341399999999995,6.685125,6.578103,6.697067,6.579547,6.695085000000001
ABCA1,10.078722,9.462263,9.233545,11.469535,10.957428,11.074411999999999,10.950876,11.005075999999999,8.633141,11.523924000000001,9.930589999999999,11.383567
ABCA10,6.555141000000001,6.575608,6.560205000000001,6.486846,6.5607125,6.4905565,6.547203,6.4565545,6.4898485,6.7055175,6.48083,6.555123
ABCA11P,7.353006,7.319127000000001,7.321314999999999,7.1562660000000005,6.870691000000001,6.852347999999999,7.043709,6.843888000000001,7.0523929999999995,6.8500559999999995,6.958987,6.914091
ABCA12,6.500128,6.4565375,6.5023265,6.4729415,6.510686499999999,6.479239,6.5255245,6.4707085,6.455622,6.3049504999999995,6.51187,6.488819
ABCA13,6.253952,6.024508999999999,6.030034,6.371415,6.120421,6.244889,6.174437999999999,6.171429,6.1201360000000005,6.036563,6.280301000000001,6.099424
ABCA17P,6.604869,6.72,6.563503999999999,6.47331,6.847026,6.6143600000000005,6.617058999999999,6.639785000000001,6.809750999999999,6.710203,6.481128,6.663171000000001
ABCA2,6.860119,6.924286,6.926779499999999,6.769,6.820639999999999,6.746766,6.9032800000000005,6.866629,6.900552,6.695574499999999,6.5927175,6.672639
ABCA3,7.665641,7.765242,8.037730999999999,7.51341,7.778541000000001,7.61645,8.195723,8.051186999999999,8.249518,7.787056,7.9002550000000005,7.854775999999999
ABCA4,6.443928,6.499094,6.480926,6.567031,6.5555460000000005,6.530441000000001,6.816075,6.648249000000001,6.588253,6.4567559999999995,6.409508,6.574733
ABCA5,6.416980000000001,6.369653,6.4635370000000005,6.526599,6.435468,6.4904209999999996,6.3125279999999995,6.256593,6.324833,6.529849,6.458501,6.355914
ABCA6,6.5086260000000005,6.5340169999999995,6.6074765,6.577063000000001,6.7528559999999995,6.555577499999999,6.4967525,6.655141,6.601302499999999,6.5300655,6.5575775,6.566026
ABCA7,7.825955499999999,8.0414765,8.334857000000001,7.5433330000000005,7.5660105,7.5446075,7.267366,7.2962880000000006,7.800436500000001,7.5446634999999995,7.2774735,7.603560000000001
ABCA8,6.7736945,6.727803999999999,6.640260499999999,6.571679,6.688521000000001,6.7021795,6.8191630000000005,6.7452065,6.7180235,6.7719830000000005,6.803497500000001,6.6799955
ABCA9,6.8077214999999995,6.666944,6.641816,6.627901,6.618589999999999,6.610516499999999,6.650035000000001,6.5688875,6.800292999999999,6.8659229999999996,6.480283,6.608119500000001
ABCB1,6.5521715,6.8617300000000006,6.521806,6.756211,6.756161,6.7166025,6.7910925,6.710876,6.610742999999999,6.8226565,6.646136,6.788158500000001
ABCB10,8.476221,8.593895,8.505946,8.070224000000001,8.056409,8.332531,8.317359,8.200911999999999,8.398439999999999,8.534864,8.351861999999999,8.072498
ABCB11,6.620305,6.690583999999999,6.52958,6.738214999999999,6.709428,6.638649000000001,6.761636,6.781753999999999,6.520773,6.734698,6.5803,6.726576
ABCB4,6.34566,6.688496000000001,6.469133,6.847917,6.435398,6.509624,6.374363,6.4828779999999995,6.509493,6.6189979999999995,6.262201,6.639557000000001
ABCB5,6.292266000000001,6.21847,6.222804,6.177942,6.279814,6.285603,6.2202779999999995,6.3385370000000005,6.182533,6.421479,6.381986,6.1226519999999995
ABCB6,10.033613,10.187919,10.569091,9.780599,10.017339999999999,10.005447,10.131197,9.984671,11.030761,9.896798,9.79235,9.853353
ABCB7,9.865113000000001,9.743644999999999,9.579927,9.806463,9.867911999999999,9.740981,9.824122000000001,9.89989,9.297148,9.778801,9.542225,9.957958
ABCB8,6.697585000000001,6.782003,6.835116,6.818025,6.697614999999999,6.804919,6.811592,6.6876240000000005,6.863931,6.747310000000001,6.562117999999999,6.791952
ABCB9,7.587521000000001,8.207775,8.230853999999999,7.828082000000001,7.996211,7.953874000000001,7.807289999999999,7.777181,8.532633,7.8382559999999994,7.781547,7.827014999999999
ABCC10,7.861510000000001,8.223806,8.324649,7.847817999999999,8.312793,8.023171000000001,8.156367999999999,8.033976,8.729078999999999,7.695539,8.332622,7.908583
ABCC11,6.624307000000001,6.671977,6.52055,6.474288,6.501011,6.424796,6.458655,6.663423,6.576092999999999,6.282216,6.4715620000000005,6.370254
ABCC12,6.477565,6.4957769999999995,6.682156,6.60055,6.504805999999999,6.662389,6.656933,6.74216,6.531629,6.4437739999999994,6.271386,6.646978999999999
ABCC13,6.286944999999999,6.350796,6.366128,6.246181,6.405577,6.2709150000000005,6.492301,6.331225,6.274726,6.283182,6.236619999999999,6.264476
ABCC2,7.072891,7.107203,7.118253999999999,7.232938000000001,7.597364999999999,7.399599,7.165728,7.127475,7.3213740000000005,7.371614999999999,7.36535,7.460122999999999
ABCC3,6.902514,6.990208,7.090692999999999,7.051576,7.072761999999999,6.9588149999999995,7.02539,6.939371,7.295456,6.99795,7.223192,6.893185000000001
ABCC4,8.20004,8.247155000000001,8.0459375,8.229308999999999,8.205725,8.3284255,8.1528015,8.244213499999999,7.283053999999999,8.4343735,8.0880905,8.252341
ABCC5,9.016902,9.259095,8.50709,9.183952,9.426867,9.231803999999999,9.119732,9.331672,8.786846,9.170636,9.724279,8.959086
ABCC6,6.762676,6.74285,6.8056315000000005,6.787099499999999,6.779955999999999,6.770662,6.6955155,6.88087,6.7070345,6.690968499999999,6.752725999999999,6.695396499999999
ABCC6P1,6.658005,6.73119,6.678178999999999,6.753578999999999,6.656584,6.700452,6.647,6.967382000000001,6.758735000000001,6.451967,6.612839999999999,6.85745
ABCC6P2,7.301931,7.168402,7.412242999999999,7.121805999999999,7.126506,7.038473,7.091602000000001,7.1507320000000005,7.189448,7.059394999999999,7.253277000000001,7.163473
ABCC8,6.756353999999999,7.812262,7.670428,7.361903999999999,7.399959,7.260261,7.725052000000001,7.6003300000000005,7.603146000000001,7.186027,7.035947,7.513878999999999
ABCC9,6.6102675,6.533835,6.644369,6.597212,6.7772435,6.66248,6.5881775,6.7986625,6.4943764999999996,6.473485500000001,6.6265535,6.703771499999999
ABCD1,6.684897,6.689385000000001,6.762167,6.601655,6.733314999999999,6.626675,6.259596,6.292947,6.398329,6.227115,6.2665239999999995,6.098765
ABCD2,6.462354,6.381928,6.3670235,6.3987004999999995,6.3700055,6.4339615,6.4948725,6.4458345,6.391820500000001,6.557994,6.449333,6.453921
ABCD3,8.262594,7.86993,8.106007,8.017009,7.927269,7.796911,8.117497,7.802816,7.798453,8.161582000000001,8.063055,8.006475
ABCD4,6.69658,6.598095,6.573947500000001,6.685239999999999,6.60492,6.527296499999999,6.62299,6.615285000000001,6.5356185,6.5404915,6.446519,6.618023
ABCE1,10.597195,10.1151785,9.729521499999999,10.1670675,10.0188755,10.265573,10.1383705,10.290942,9.6793,10.4519895,10.368801,10.268383
ABCF1,12.041526,11.9879235,11.720412,12.0862455,12.0622215,11.988431,11.975253,12.046257,11.044754,12.0366955,12.129541,12.1589385
ABCF2,8.523019,7.632206,7.910139,7.516310000000001,7.576076,7.617628999999999,7.239437,7.625732000000001,7.924322999999999,7.608960000000001,7.85455,7.842681
ABCF3,7.874834,8.099484,8.05385,8.23393,8.204436999999999,7.927269,8.157544,8.18679,8.465882,7.874834,8.492047,8.10133
ABCG1,6.639689999999999,6.95515,6.98367,6.993016000000001,7.060796000000001,6.82512,7.030039,7.010464,6.9091190000000005,7.276541,6.9227479999999995,6.826138
ABCG2,6.304829,6.367342,6.485501999999999,6.390578,6.505324,6.535896,6.556161,6.597011,6.270011,6.388621,6.247656,6.511825
ABCG4,7.423856,7.775261,8.169171,7.799111999999999,7.976716000000001,7.792254,8.132319,7.867914,8.097791,7.57485,7.693161999999999,7.870494
ABCG5,6.841525,6.610628999999999,6.660073,6.748639,6.693242999999999,6.622192,6.600008,6.6477,6.704999000000001,6.846978999999999,6.688161999999999,6.832414
ABCG8,6.922789999999999,6.695016000000001,6.633025999999999,6.570619000000001,6.6592009999999995,6.680851,6.736967999999999,6.612358,6.765517,6.835702,6.597271000000001,6.766746
ABHD1,6.886946000000001,6.782514,6.960716000000001,6.701451,6.702803,6.867427,6.813826,6.8185649999999995,6.778344000000001,6.646139,6.8532779999999995,6.653158
ABHD10,8.526569,8.894317,8.952772999999999,8.374521000000001,8.546861999999999,8.340243,8.952299,8.858206,8.960364,8.085415,8.491255,8.144608999999999
ABHD11,6.388228,6.4698475,6.37547,6.236261,6.273858000000001,6.4492745000000005,6.1939614999999995,6.312739,6.6004595,6.3423725,6.220396,6.4415045
ABHD11-AS1,6.805510000000001,6.73291,6.909224000000001,6.863888,6.720012,6.785647,6.844925,6.804092,6.794577,6.720269999999999,6.856928999999999,6.793873
ABHD12,7.766164999999999,7.955936,7.864051,8.151726,8.056587,8.046152000000001,8.059751,8.184698,8.451185,8.184503,8.62685,8.370853
ABHD12B,9.968687,8.256511,8.27645,7.624072,7.809365,7.751129,8.627279,8.407199,8.163077000000001,8.274996,8.729252,7.9543669999999995
ABHD13,6.763102000000001,6.720885000000001,6.687063,6.5909770000000005,6.6523985,6.638091499999999,6.717219500000001,6.6674175,6.6280285,6.6014265,6.6321295,6.620562
ABHD14A,7.672378999999999,8.179249,8.384795,7.467376,7.815394,7.534064,7.946683999999999,7.621529,8.405945,7.598199,7.598788000000001,7.514429
ABHD14B,7.287337,7.635142999999999,7.779663,7.280361999999999,7.30505,7.141363,7.1919759999999995,7.242878,7.558139,7.086100999999999,6.935356,7.097227
ABHD15,6.997553999999999,6.618289,6.9692929999999995,6.587368,6.447128,6.708828,6.6076809999999995,6.578147,7.224694,6.737371,6.620941999999999,6.772753
ABHD16A,9.033826,9.677783,9.780891,9.369202,9.577409,9.378308,9.516074,9.55829,10.389367,9.319450999999999,9.416861,9.421152000000001
ABHD16B,6.525671,6.385875,6.466309,6.596789,6.52799,6.267517,6.443646,6.600657000000001,6.3149239999999995,6.374341,6.59951,6.421144
ABHD17A,6.5767714999999995,6.3763235,6.4349485,6.3159160000000005,6.2831835,6.3903585,6.3253425000000005,6.2777705,6.3577805,6.3448955,6.159318,6.2981419999999995
ABHD17B,7.5384015,7.582744,7.168060499999999,7.8911625,7.6339904999999995,7.8793435,7.638328,7.8270925,7.147016499999999,8.1654335,7.699014,7.8482595
ABHD17C,10.062469,10.287722,10.240486,10.142503,10.373121000000001,10.282794,10.595089,10.400811000000001,10.411754,10.221553,10.493335,10.127895
ABHD2,6.9570705,6.841228500000001,6.8436285,6.859724000000001,6.8458355,6.8469940000000005,6.934611,6.888742999999999,6.8141985,6.931202000000001,6.9131575,6.8808465
ABHD3,7.344301,7.802816,7.738164,7.688401,7.793421,7.655099000000001,7.591305999999999,7.7261679999999995,7.897342999999999,7.456049,7.431347,7.807289999999999
ABHD4,8.041252,8.45877,8.432732000000001,8.41306,8.617339999999999,8.405945,8.742624000000001,8.70505,8.949469,8.686142,8.872145,8.689657
ABHD5,7.427503,8.077935,7.753315,7.722693,7.891694,8.193785,7.757451,7.933551,7.62593,8.109109,7.765067999999999,7.855200999999999
ABHD6,7.938294,8.542689,8.561739,8.302133,8.441467,8.296844,8.603294,8.564862,8.91825,7.955307,7.638828,8.324875
ABHD8,9.092869,9.593897,9.817461999999999,9.397874,9.924167,9.711946000000001,10.194024,10.008173,10.702579,9.432716000000001,9.497909,9.46072
ABI1,7.672935000000001,7.6928155,7.6610185,7.821911,7.6613755,7.624728999999999,7.550471000000001,7.630992,7.576003999999999,7.789205,7.853548,7.7903635
ABI2,6.593813000000001,6.331606,6.400069,6.3056529999999995,6.292305000000001,6.3334150000000005,6.4295290000000005,6.402855000000001,6.45404,6.61223,6.554036999999999,6.306045
ABI3,6.90433,6.876355,6.863553,6.810899000000001,6.828571000000001,6.954126,6.753703999999999,6.782057000000001,6.923067,6.66241,7.10986,6.698245
ABI3BP,6.8778619999999995,6.935175,6.807653,7.1327940000000005,7.2127550000000005,7.171589999999999,6.8906160000000005,6.871411,7.055451,6.994517999999999,6.921739,7.007363000000001
ABL1,7.126588000000001,7.283652,6.815528,7.258012,7.283198,7.299047,7.34151,7.046725,6.983719000000001,7.021305,6.8919369999999995,7.059902
ABL2,6.804183999999999,6.787778,6.8588309999999995,6.854633,6.883447,6.663676,6.913380999999999,6.811571000000001,6.910258,7.004581,6.753526,6.84328
ABLIM1,8.3047045,8.1518735,7.836096,8.289659,7.9493175,8.242116000000001,7.7512300000000005,7.9892389999999995,7.215791,8.2883485,7.9563395,8.079880000000001
ABLIM2,6.8546949999999995,7.295151,7.390136,7.303541,7.208488000000001,7.167960000000001,7.3202300000000005,7.1752970000000005,7.272507000000001,7.140208,6.909839,7.297303
ABLIM3,6.538834,6.504335,6.495451,6.486258,6.604038,6.373118,6.560224000000001,6.510867,6.666832,6.540368,6.768161999999999,6.549998
ABO,6.229158,6.33381,6.159434,6.404161,6.126583,6.336029,6.239195,6.333683000000001,6.116574,6.264256,6.388001999999999,6.318035
ABR,6.508675,6.8713820000000005,6.684642,6.715742,6.825873,6.688703,6.674639,6.704657000000001,6.690977,6.724296000000001,6.830251,6.724833
ABRA,6.490716,6.261423000000001,6.324658,6.600604,6.434243,6.493951999999999,6.555455,6.411151,6.493384,6.426058,6.3868540000000005,6.423255
ABRACL,10.340802,10.305098,10.311702,10.089546,10.151483,10.406539,10.472251,10.540581,10.870636,10.114930000000001,10.639588999999999,10.25425
ABT1,7.93968,7.840482000000001,7.965225,8.103977,8.116157000000001,8.184994,8.195896000000001,8.043018,8.018483,8.005148,7.9223539999999995,8.033586
ABTB1,6.927341,7.316687,7.2903210000000005,7.072328999999999,7.238124000000001,7.160617,7.4151869999999995,7.263174,7.83931,6.907872,7.561081,7.018103
ABTB2,7.7671149999999995,7.489082000000001,8.072335,7.814336999999999,7.5959270000000005,7.75707,7.61645,7.530634,8.568512,8.091275,7.9753050000000005,8.473248
ACAA1,8.860686,8.839039999999999,8.964932000000001,8.925937,8.701073,8.870712,8.588754,8.698321,9.537005,8.882832,8.657471000000001,8.854861
ACAA2,11.223583999999999,11.3447,10.768096,10.944456,11.107861999999999,11.383113,10.823721,11.26833,10.243085,11.169227000000001,11.165804,11.193425999999999
ACACA,10.884011,11.186375,10.640784,11.287391,11.162831,11.246139,11.19859,11.256557,9.225222,11.036093,10.936060000000001,11.12455
ACACB,8.146713,8.705456,8.739855,8.791072,8.91825,8.680572999999999,8.766474,8.668498,8.276755,8.113394,8.197421,8.305805
ACAD10,7.880841,8.180196,8.440702,7.941555,8.266637,8.188478,8.063744,8.057535000000001,8.393003,7.820563000000001,8.100565,8.072335
ACAD11,10.223621000000001,9.585263000000001,9.260615,9.726695,9.850853,9.742934,9.771937,9.692476,8.412763,9.350829,10.300562,9.529049
ACAD8,8.44555,8.678622,8.713916000000001,8.847809,8.571133,8.85547,8.612051,8.574166,8.819439,8.589398,8.62727,8.621617500000001
ACAD9,9.17264,9.385494,9.476042999999999,9.311299,9.648544000000001,9.508189999999999,9.533564,9.500116,9.795477,9.446684,9.474797,9.581991
ACADL,6.442307,6.442728,6.452171,6.6714139999999995,6.513078,6.736467,6.583363,6.429180000000001,6.554092999999999,6.517371,6.497223,6.644906
ACADM,10.1962145,10.3767865,10.3860815,10.239505,10.045815,10.2229825,9.924263999999999,10.093776,10.2172165,10.1409455,10.0679435,10.22345
ACADS,7.137252,7.309985,7.662763000000001,7.291353,7.276974000000001,7.207422,7.208846,7.302446000000001,7.922208,7.1072679999999995,6.727342999999999,7.478053
ACADSB,6.602459,6.93535,6.773042,6.757422,6.7998975,6.8327235,6.731388000000001,6.7655435,6.813706,6.8440055,6.780514999999999,6.8151175
ACADVL,9.431092,9.774842,9.942016,9.871105,9.93708,9.679252,9.464291000000001,9.752786,10.636714999999999,9.255535,9.936252,9.987274000000001
ACAN,6.363102,6.461233,6.432685,6.4434025,6.4085114999999995,6.3850485,6.607496,6.436044,6.3157165,6.41332,6.4506835,6.5058915
ACAP1,8.269766,8.704574000000001,9.012645,8.598162,8.714671000000001,8.672323,8.032809,8.209617999999999,9.051107,8.654752,8.516499000000001,8.839361
ACAP2,7.977834,7.845585000000001,7.5444830000000005,8.240273,7.924117,7.948811,7.827682000000001,7.958647,7.000012,8.134149,8.117312,8.029059
ACAP3,6.1199639999999995,6.260818,6.356047,6.287889,6.383869,6.253374,6.160074,6.184627,6.205173,6.202015,6.364388,6.174907
ACAT1,10.416852,10.572609,10.420786,10.159711999999999,10.224953999999999,10.241545,9.991594000000001,10.084705,9.845815,10.367174,10.237817,10.442219999999999
ACAT2,8.918297,9.3041205,9.033654499999999,9.0351175,9.1173165,9.28426,8.5462055,8.8904045,8.894886999999999,9.0705585,8.7052145,9.0036855
ACBD3,9.33111,9.773439,9.218065,9.887247,9.513579,9.66045,9.914525999999999,9.683872000000001,9.157147,9.818798,9.730319,10.009419
ACBD4,7.051365,7.11908,7.5831,7.084944999999999,7.251167999999999,7.039502000000001,7.102955000000001,6.986313000000001,7.410748,6.8896440000000005,6.9448360000000005,7.0469919999999995
ACBD5,6.6717830000000005,6.8279440000000005,6.523238,6.571096000000001,6.514018,6.7839100000000006,6.335838,6.522112,6.452438,6.699947,6.261475,6.468215
ACBD6,9.245742,9.379663,9.404525,9.376930999999999,9.443541,9.499402,9.5987,9.385882,9.818226,9.389646,9.321976,9.519699000000001
ACBD7,7.587557,7.673121000000001,7.798054,7.6289715,7.730218499999999,7.681569500000001,8.075285000000001,7.954583500000001,7.5598339999999995,7.782992999999999,7.8762025,7.6997855
ACCS,7.107041499999999,7.273274499999999,7.5443895,7.234678,7.255078500000001,7.1182145000000006,7.2825714999999995,7.135708999999999,7.342871499999999,6.968602000000001,7.1289985,7.087607000000001
ACCSL,6.6829244999999995,6.728486999999999,6.7651495,6.6624035,6.853805,6.720405,6.6282559999999995,6.7534615,6.701847,6.7291655,6.6864729999999994,6.707774499999999
ACD,10.084107000000001,10.610797999999999,10.893164,10.591853,10.694233,10.548405,10.816977,10.655550999999999,11.23237,10.500515,10.404475999999999,10.494233
ACE,6.386261,6.4748075,6.507276999999999,6.486572,6.456592,6.4628365,6.4958025,6.4178705,6.561138499999999,6.500363500000001,6.3423685,6.469025
ACE2,6.7095970000000005,6.8657,6.7941,6.836475,6.740475999999999,6.806036,6.936564999999999,6.764879,6.7258059999999995,6.868767,6.973737,6.773775
ACER1,6.683083,6.648505,6.4831635,6.6787185,6.5997965,6.628557499999999,6.63995,6.618217,6.5478035000000006,6.5293205,6.666467999999999,6.612044999999999
ACER2,7.4050825,7.4960475,7.4303175,7.582911500000001,7.657311,7.5931169999999995,8.0182765,7.897785000000001,7.711064,7.579097999999999,7.615196000000001,7.600516000000001
ACER3,7.701598,7.7515615,7.4499045,7.8937265,7.619036500000001,7.520133,7.744689500000001,7.655522,7.0206065,7.746355499999999,7.566600500000001,7.6669
ACHE,6.967059,6.97438,6.818211,6.9767850000000005,6.859521000000001,6.906816,6.997553999999999,6.942877,7.101033,6.786408,6.962851,7.095833
ACIN1,11.309255,11.272839999999999,11.019864,11.763552,11.525757,11.296595,11.568795,11.612124,10.983008,11.531400999999999,11.810715,11.22568
ACKR1,6.420886,6.696894,6.442096,6.962257000000001,6.946207000000001,7.0097179999999994,6.843127000000001,6.998450999999999,6.608728999999999,6.763617999999999,6.571229,6.692775
ACKR2,6.676082000000001,6.881292999999999,6.537807,6.591125,6.853953999999999,6.757134,6.819016,6.82225,6.7450399999999995,6.5615630000000005,6.545737,6.995081
ACKR3,7.2061779999999995,7.43532,7.41688,7.474916,7.957107000000001,7.843249,7.6811300000000005,7.617197999999999,7.99845,6.937608,7.6650089999999995,7.270033
ACKR4,6.549763,6.520642,6.5503754999999995,6.527819,6.4590385,6.4651585,6.4351685,6.496464,6.5850715,6.519153500000001,6.569281500000001,6.3883655
ACLY,12.258751,12.6367555,12.507922500000001,12.192566000000001,12.558985,12.3668385,12.1740335,12.240744,12.108473,12.422583,12.252908999999999,12.3916545
ACMSD,6.357951,6.295314,6.377408999999999,6.494843,6.314118,6.400131,6.5057540000000005,6.457255,6.294872,6.316822,6.530639,6.3777230000000005
ACO1,11.58517,11.694904,11.486311,11.478634,11.519012,11.350087,11.743613,11.663994,10.049021,11.309255,11.193952000000001,11.457246000000001
ACO2,8.924899,8.963587,9.166017,8.702112,8.89518,9.265476,8.494881,8.837912,9.658328,9.048354,8.65356,9.152057000000001
ACOD1,6.6654160000000005,6.578496,6.447578,6.5861875,6.611658500000001,6.490816000000001,6.5984685,6.4579315,6.4459875,6.4815585,6.491604,6.485049
ACOT1,6.964506,7.094174000000001,6.924780999999999,6.8973625,6.880747,6.996405,6.75471,6.70582,7.061988499999999,6.849769500000001,6.7352095,6.9531279999999995
ACOT11,7.450523,7.484031,7.8467515,7.347791,7.4392045,7.3972455,7.4457265,7.302944500000001,7.747542999999999,7.380914,7.3853375,7.447344999999999
ACOT12,6.633841,6.7327330000000005,6.608492999999999,6.611982000000001,6.814897,6.658722999999999,6.721985000000001,6.773246,6.723659,6.57918,6.715219,6.785369
ACOT13,11.058605,10.832846,10.879222,11.122438,10.985722,11.289114,10.780435,11.00953,11.508854,11.094072,10.330318,11.061689999999999
ACOT2,6.477281,6.3592165000000005,6.545511,6.5105235,6.3964514999999995,6.381489,6.493905000000001,6.431608,6.4940265,6.527648999999999,6.3747489999999996,6.4896075
ACOT4,8.017631,7.942634,8.343156,7.799250999999999,8.103977,8.015286,7.825353,7.828322999999999,8.346354,7.740117,7.819986,7.648254
ACOT6,6.5664869999999995,6.430494,6.694392999999999,6.552059,6.526180999999999,6.492861,6.4167190000000005,6.486285,6.587803,6.3717,6.560461999999999,6.684977000000001
ACOT7,6.5745065,6.467278,6.52454,6.6140235,6.630911,6.5865405,6.5945575,6.6348720000000005,6.5863595,6.6319479999999995,6.545164,6.669216499999999
ACOT8,7.243489,7.420128,7.482558999999999,7.54771,7.587026,7.48388,7.158137,7.466122,7.8498600000000005,7.551397,7.1746490000000005,7.6874210000000005
ACOT9,9.6544755,9.4236025,9.253741999999999,8.8419075,8.8396165,9.0570585,8.878525999999999,8.9458755,8.635585,9.2028285,9.088338,9.3263785
ACOX1,6.553685000000001,6.499689,6.36134,6.559665,6.524846,6.472008,6.4798089999999995,6.4210080000000005,6.356006,6.592179,6.435074,6.416894999999999
ACOX2,9.137385,8.224383999999999,8.723645,7.89227,8.209086,8.111984,8.099685000000001,8.04004,8.097002999999999,7.925142,8.322057000000001,8.022378
ACOX3,7.789941000000001,7.785799000000001,7.938110000000001,7.8005949999999995,8.042769999999999,7.865956,7.856628,7.997941,8.382503999999999,7.6511190000000004,7.831685,7.846317999999999
