,Jang-hESCs_Control_71,Jang-hESCs_Control_72,Jang-hESCs_Control_73,Jang-iPSCs_Control_74,Jang-iPSCs_Control_75,Jang-iPSCs_Control_76,Jang-iPSCs_AMN_77,Jang-iPSCs_AMN_78,Jang-iPSCs_AMN_79,Jang-iPSCs_CCALD_80,Jang-iPSCs_CCALD_81,Jang-iPSCs_CCALD_82
SGCG,6.936611,6.7134149999999995,7.362575,6.662205999999999,6.702156,6.7044179999999995,6.8628160000000005,6.9588149999999995,7.602550999999999,6.777232000000001,6.8950059999999995,6.9094169999999995
SGCZ,6.67385,6.622349000000001,6.709026,6.490104,6.579588,6.457429,6.45254,6.513621,6.478201,6.4254739999999995,6.465379,6.7226740000000005
SGF29,7.9043635,7.8323575,8.073623,7.971155,8.087046,7.886533,8.005136,7.89565,8.138038,7.774678,7.9147545,7.898782000000001
SGIP1,6.333614,6.419245,6.44574,6.459322,6.4310279999999995,6.31091,6.506655,6.320689,6.249636,6.337153,6.205407,6.483954
SGK1,10.080647,10.3951045,9.181324499999999,10.564464,10.318953,10.626019,10.422432,10.596601,9.149567999999999,11.5854235,11.862421000000001,12.097249
SGK2,6.542346,6.543732,6.614066,6.524247,6.594792999999999,6.491974,6.398667,6.479637,6.595442,6.556085,6.304933,6.446416999999999
SGK223,11.0544835,11.022877000000001,11.3019765,12.0453475,11.6846615,11.647269,11.754163,11.705689,11.024499,11.850329499999999,11.999673,11.860656
SGK3,7.235422,7.241875,6.8569759999999995,7.329604,7.1387410000000004,7.244022,7.542812,7.245227000000001,6.788761,7.2289,7.543692999999999,7.172003999999999
SGMS1,7.422978,7.16172,7.408695,7.171458,6.97695,7.190863,6.772155000000001,7.1506039999999995,7.040227000000001,7.24568,7.155428,7.1410350000000005
SGMS2,6.830406,6.671464,6.742319999999999,7.279431,6.841391000000001,7.024719999999999,7.4557210000000005,7.113331,6.785933999999999,7.638373,7.267671000000001,7.812262
SGO1,8.1475425,8.461924,8.223604,8.510766499999999,8.485625500000001,8.508575500000001,8.292031,8.4715265,8.0084125,8.772719500000001,8.555033,8.5844235
SGO2,7.599021499999999,7.7796905,7.7209970000000006,7.5148425,7.596458999999999,7.753536500000001,7.576467500000001,7.5251775,7.614325,7.789503999999999,7.45246,7.7854185
SGPL1,9.272478,8.918586999999999,8.999338,9.106261,9.064095,8.829428,8.884105,8.87853,8.613543,8.922557000000001,9.388409,9.078294
SGPP1,6.6186869999999995,6.579885000000001,6.482012999999999,6.554850999999999,6.370413,6.2892410000000005,6.311367,6.14164,6.502463,6.436184,6.355797,6.355658
SGPP2,6.7270710000000005,6.786749499999999,6.870586,6.6907895,6.638917500000001,6.6367205,6.4772885,6.710431,6.865638499999999,6.571061500000001,6.8084875,6.574310499999999
SGSH,8.619036999999999,9.418486,9.409023,9.220739,9.305287,9.104467,9.054157,9.136975999999999,9.645174,8.635482000000001,9.167514,8.690603
SGSM1,6.456823,6.888091999999999,6.613563,6.842622,6.746383,6.905922,6.8310759999999995,6.910873,6.757851,6.769489,6.774185000000001,6.968535
SGSM2,11.644125,11.974397,12.212691,12.015015,12.150907,11.979231,12.023964,11.996895,12.290009,11.651973,11.93829,11.708509
SGSM3,8.529114,8.906739,9.406345,8.903795,8.990578,8.720369,8.87153,8.709872,9.494749,8.403255999999999,8.701419999999999,8.693881
SGTA,9.246027999999999,9.135361,9.040888,9.180997999999999,9.251891,9.291216,9.44318,9.322503999999999,9.715333,9.379389,9.429656,9.443541
SGTB,6.982842999999999,6.945808,6.7743615,6.971869,6.9489505000000005,7.027219500000001,6.9607535,7.0553045,6.8782535000000005,7.0900485,6.978474,7.0440825
SH2B1,7.413392,7.879106,7.965075,7.996567999999999,7.847569999999999,7.751436999999999,7.744831,7.8372839999999995,8.364386,7.447382000000001,7.8345460000000005,7.669724
SH2B2,6.505836,6.8187679999999995,6.630876,6.746142,6.692016000000001,6.63715,6.646477,6.593066,6.98844,6.751709,6.604625,6.819088000000001
SH2B3,11.457669000000001,11.292595,11.425888,12.14441,11.726707000000001,11.656523,12.389164,12.260113,11.340867999999999,12.298518,12.119928,12.643203
