	Mouse_ABCD1_1	Mouse_ABCD1_2	Mouse_ABCD1_3	Mouse_NT_1	Mouse_NT_2	Mouse_NT_3
Gm23417	0	0	0	0	0	0
RP23-110K5.3	8.24545625968369	3.71342011723724	7.58462875423758	3.77607005814975	1.95959185071892	2.26977117710861
Hs6st2	0	3.71342011723724	1.89615718855939	0	0	2.26977117710861
RP23-379L10.1	0	0	0	0	0	0
Usp26	0	0	0	0	0	0
RP23-24M17.2	0	0	0	0	0	0
Gm22539	0	0	0	0	0	0
RP23-309D15.2	0	0	0	0	0	0
Gpc4	0	0	0	0	0	0
Gpc3	0	0	0	0	0	0
RP23-12F1.1	0	0	0	0	0	0
Mir6384	0	0	0	0	0	0
Mir717	0	0	0	0	0	0
RP23-107F15.1	0	0	0	0	0	0
Mir363	0	0	0	0	0	0
Mir92-2	0	0	0	0	0	0
Mir19b-2	0	0	0	0	0	0
Mir20b	0	0	0	0	0	0
Mir18b	0	0	0	0	0	0
Mir106a	0	0	0	0	0	0
Kis2	0	0	0	0	0	0
RP23-426M5.1	65.9636500774695	41.775976318919	27.4942792341112	62.3051559594708	65.646326999084	85.116419141573
RP23-426M5.2	0	0	0	0	0	0
Ccdc160	0	0	0	0	0	0
RP23-156G14.2	0	0	0	0	0	0
RP23-156G14.1	0	0	0	0	0	0
Rps2-ps13	202.01367836225	251.584212942823	289.163971255308	293.589447021143	273.36306317529	314.363308029543
Phf6	550.384205333886	480.887905182223	542.300955927987	504.105352762991	481.079799351496	549.284624860284
Hprt	1520.25599787918	1790.79685153766	1936.92456811342	1863.4905736969	1755.79429824416	1863.48213640617
Mir450b	2.06136406492092	0.928355029309311	0.948078594279697	3.77607005814975	3.91918370143785	3.40465676566292
Mir450-1	2.06136406492092	0	0	0	0	0
Mir450-2	0	0	0	0	0	0
Mir542	1.03068203246046	0	0	7.55214011629949	0	1.13488558855431
RP23-173F3.5	30.9204609738138	53.84459169994	50.248165496824	99.1218390264308	88.1816332823516	81.7117623759101
Mir351	15.4602304869069	24.1372307620421	20.8577290741533	57.5850683867836	59.7675514469272	64.6884785475955
Mir503	8.24545625968369	11.1402603517117	8.53270734851728	15.104280232599	26.4544899847055	9.07908470843445
Mir322	19.5829586167488	11.1402603517117	11.3769431313564	35.8726655524226	24.4948981339866	30.6419108909663
RP23-173F3.4	350.431891036557	365.771881547869	517.650912476715	884.544411121578	906.311230957503	861.378161712719
Plac1	44.3193273957998	79.8385325206007	65.4174230052991	89.6816638810565	85.2422455062732	106.679245324105
Fam122b	227.780729173762	229.3036922394	254.085063266959	376.662988300437	408.574900874896	392.67041363979
Fam122c	0	0	0	0	0	0
Gm23718	0	0	0	0	0	0
RP23-66H6.3	0	0	0	0	0	0
Mospd1	1192.49911155675	1296.91197594511	1477.10644988777	873.216200947129	854.382046913451	1014.58771616755
RP23-66H6.5	51.5341016230231	27.8506508792793	63.5212658167397	48.1448932414093	57.8079595962083	56.7442794277153
Etd	0	0	0	0	0	0
WI1-2788A17.1	21.6443226816697	17.6387455568769	11.3769431313564	15.104280232599	7.8383674028757	20.4279405939775
Cxx1c	39.1659172334975	25.9939408206607	27.4942792341112	9.44017514537436	14.6969388803919	7.94419911988015
RP23-479D16.2	0	1.85671005861862	0	1.88803502907487	1.95959185071892	0
RP23-479D16.3	4.12272812984185	1.85671005861862	0	0	0	2.26977117710861
Cxx1a	1330.61050390646	1554.9946740931	1520.71806522463	1288.5839073436	1257.07817223619	1134.88558855431
Cxx1b	1693.41057933254	2152.85531296829	1951.14574702762	1430.18653452422	1553.95633762011	1364.13247744228
RP23-479D16.6	2.06136406492092	0	0	0	0	0
RP23-451C8.1	1.03068203246046	0	0	3.77607005814975	0	4.53954235421723
RP23-451C8.2	20.6136406492092	11.1402603517117	5.68847156567818	6.60812260176206	4.89897962679731	19.2930550054232
RP23-451C8.3	0	0	0	0	0	0
RP23-451C8.4	0	0	0	0	0	0
RP23-451C8.5	0	0	0	0	0	0
Zfp36l3	0	0	0	0	0	0
Xlr	0	0	0	0	0	0
RP23-3G8.1	0	0	0	0	0	0
RP23-3G8.3	0	0	0	0	0	0
RP23-3G8.4	4.12272812984185	5.57013017585587	0	0.944017514537436	0	2.26977117710861
RP23-3G8.5	0	0	0	0	0	0
RP23-3G8.7	0	0	0	0	0	0
RP23-3G8.6	0	0	0	0	0	0
RP23-233H9.5	0	0	0	0	0	0
Gm22550	0	0	0	0	0	0
RP23-233H9.3	0	0	0	0	0	0
RP23-233H9.4	0	0	0	0	0	0
RP23-315F2.1	0	0	0	0	0	0
RP23-315F2.2	0	0	0	0	0	0
RP23-315F2.3	0	0	0	0	0	0
RP23-145L13.1	0	0	0	0	0	0
RP24-329J6.2	0	0	0	0	0	0
RP24-329J6.5	0	0	0	0	0	0
RP24-329J6.7	0	0	0	0	0	0
RP23-395J7.2	0	0	0	0	0	0
RP23-221M16.1	0	0	0	0	0	0
RP23-221M16.2	0	0	0	0	0	0
RP23-221M16.4	0	0	0	0	0	0
RP23-209O23.1	0	0	0	0	0	0
Slxl1	0	0	0	0	0	0
RP23-332J14.3	0	0	0	0	0	0
RP23-144M4.2	0	0	0	0	0	0
RP23-144M4.3	0	0	0	0	0	0
RP23-416N9.1	0	0	0	0	0	0
RP23-468C6.2	0	0	0	0	0	0
RP23-468C6.3	0	0	0	0	0	0
RP23-468C6.4	0	0	0	0	0	0
RP23-468C6.5	0	0	0	0	0	0
RP23-468C6.6	0	0	0	0	0	0
Gm22103	0	0	0	0	0	0
RP23-135I10.4	0	0	0	0	0	0
RP23-135I10.1	0	3.71342011723724	1.89615718855939	2.83205254361231	8.81816332823516	5.67442794277153
RP23-135I10.5	3.09204609738138	0.928355029309311	0	3.77607005814975	2.93938777607839	4.53954235421723
RP23-135I10.3	0	0	0	0	0	0
RP23-135I10.2	0	0	0	0	0	0
RP23-402J24.1	0	0	0	0	0	0
Zfp449	263.854600309878	274.793088675556	305.281307358063	189.747520422025	193.019797295814	225.842232122307
RP23-167D4.3	4.12272812984185	0	1.89615718855939	3.77607005814975	0	0
Smim10l2a	4.12272812984185	0	0	0	1.95959185071892	0
RP23-167D4.2	0	0	0	0	0	0
Gm2174	0	0	0	0	0	0
Ddx26b	502.972831840705	500.383360797719	467.402746979891	742.941783940963	728.96816846744	679.79646754403
Gm10477	0	0	0	0	0	0
RP23-105E2.2	0	0	1.89615718855939	0	1.95959185071892	0
Mmgt1	376.198941848069	350.91820107892	365.010258797683	945.905549566511	897.493067629267	1163.25772826816
Mir5116	0	0	0	0	0	0
Slc9a6	447.31600208784	374.127076811652	421.894974454465	568.298543751537	581.018983738161	558.363709568719
Gm26312	0	0	0	0	0	0
Fhl1	8.24545625968369	3.71342011723724	13.2731003199158	1.88803502907487	1.95959185071892	0
Gm23258	0	0	0	0	0	0
Map7d3	0	0	0	0	0	0
Adgrg4	0	0	0	0	0	0
Brs3	0	0	0	0	0	0
Htatsf1	756.520611825979	845.731431700782	874.128463925881	876.048253490741	878.876945047438	934.010839380194
Vgll1	0	0	0	0	0	0
RP23-153G22.2	0	0	0	0	0	0
Cd40lg	0	0	0	0	0	0
Arhgef6	438.039863795696	505.025135944265	534.716327173749	343.622375291627	387.999186442347	425.582095707865
