Timp2	6898.42957424403	-3.95556333953446	0.0961452134919293	-41.1415524067301	0	0
Tmbim6	6188.55413110373	-1.99098944075657	0.0634621238980584	-31.3728775285676	4.74413609722205e-216	4.41584187929428e-212
Cdc34	1881.03286655661	2.17699072730556	0.0751213287458021	28.9796621499086	1.18729203339777e-184	7.36754283124428e-181
Lipa	3256.75210438628	-2.06411084506286	0.0726351385506388	-28.4175247166884	1.22835279250396e-177	5.71675389631343e-174
Selp	3124.38112173253	2.68202617782683	0.102079197083471	26.2739740755769	3.80480088114938e-152	1.41660346406954e-148
Sned1	1118.49471308622	-2.62927770391185	0.101518438517835	-25.8995089197509	6.74507078839763e-148	2.09277062994684e-144
Tmsb4x	8023.73141461715	-1.55481119423551	0.0628226623816466	-24.7492088888252	3.16168902146123e-135	8.40828611764605e-132
Slc7a1	2087.72751913389	1.90880047827398	0.0777151738552578	24.5614901644442	3.26022386473927e-133	7.58654093324828e-130
Mlec	1407.94742407013	2.19267049307916	0.0898966881469982	24.3910041434866	2.13064765000545e-131	4.40712629472239e-128
Ephx1	6283.02797438424	-1.51126776679629	0.0641160271712133	-23.5708267257522	7.67859928794763e-123	1.42944804344433e-119
Adamts12	796.231662104905	-2.77209051858946	0.117890988000585	-23.5140154951938	2.93213398560081e-122	4.96223693417679e-119
Eps8	1595.77965478157	1.71310594367628	0.0747228730514179	22.9261252106495	2.55052737736047e-116	3.95671813807855e-113
Gpr146	3093.36814508228	-1.52204366230354	0.0670994854787683	-22.6833879789607	6.53581565466828e-114	9.35928801748498e-111
Acer2	4127.35791594058	1.7959077273643	0.079373799135873	22.6259514715939	2.4071481006528e-113	3.20081921726804e-110
Jade1	6238.04683949307	1.29113364178673	0.0573415554901493	22.516543730812	2.85809460721207e-112	3.54708594719066e-109
Sepp1	1898.53565464022	-1.82079377751355	0.0815118265398633	-22.3377864882354	1.5871539050824e-110	1.84665356856337e-107
Gabarap	2892.49626860872	-1.89408889516064	0.0851410110239485	-22.2464928755412	1.21965289141038e-109	1.3355916603821e-106
Asah1	2452.28471931296	-1.77529831621288	0.0799741830931229	-22.1983926256015	3.5595252015909e-109	3.68134006404535e-106
Col8a1	6573.43156240377	-1.93113796321476	0.0870218060640297	-22.1914259259782	4.15604980635066e-109	4.07205385236968e-106
Lbr	1374.36839244675	1.76335481627463	0.079957590566285	22.053626225928	8.81681923762184e-108	8.20669534637841e-105
Gstp1	2355.16891433362	2.18837916201421	0.100080832785737	21.8661166289385	5.46127002036683e-106	4.84128584281661e-103
Pcdh19	706.148378134286	2.49403506929536	0.115100696684553	21.668288213151	4.08667965588951e-104	3.45807402154724e-101
Inhbb	1102.22068655472	1.91453586714791	0.0887560211373882	21.57077167964	3.38008490835215e-103	2.73581133277754e-100
Pigm	1865.81673270029	1.64880806740971	0.0767543199469925	21.4816321550161	2.31237340070772e-102	1.79363096781562e-99
Myo7a	315.521026409142	-3.75553182892208	0.17626329014627	-21.3063753990159	9.90747524469325e-101	7.37750236620838e-98
Atp6v1b2	4075.86295978324	1.4542651539281	0.0682735461543008	21.3005656779773	1.12158537641956e-100	8.03055129516408e-98
F8	2207.73421930009	-1.62897257975297	0.0769421433729999	-21.1713959131088	1.75288092809608e-99	1.20857893916432e-96
Nucks1	4374.98775335455	1.41389046973972	0.067260679422241	21.0210554202666	4.20968290151615e-98	2.79883774623659e-95
C3	1817.8089666754	-2.16728766248517	0.103489421977402	-20.9421177650254	2.21396454073071e-97	1.42121254793941e-94
Ahnak	49569.0391169029	-1.34505347534651	0.064313870835934	-20.9138939681888	4.00200357232439e-97	2.48337661674636e-94
Gnl3l	1491.31587899514	1.59009836251342	0.0785849244391573	20.2341399939186	4.90101559077893e-91	2.94313891090131e-88
Top2a	5701.99218217808	1.1749049363595	0.058611532444865	20.0456273253854	2.20385943626049e-89	1.28209522704454e-86
Sirpa	507.558179512095	-2.46236690249042	0.123282965892655	-19.9732938339143	9.40424695436511e-89	5.30513519098366e-86
Spg21	659.178851326508	-2.19565714299804	0.111140186280108	-19.7557446724473	7.15919572182571e-87	3.91987022227963e-84
Purb	4324.58254946482	1.31266009438136	0.0665751001617669	19.716982643538	1.54154950861722e-86	8.19928161497659e-84
Hacd4	1216.40659554323	-1.9722844484094	0.1017245877403	-19.3884732513695	9.65607735722632e-84	4.99326489117015e-81
Btbd3	2707.5472841808	1.2699317556563	0.0655073774195895	19.3860875779242	1.01144148826438e-83	5.08891749879183e-81
Add2	1129.98484937223	-1.6470222259888	0.085037860627214	-19.3681051456475	1.43440051020409e-83	7.02705260472614e-81
Eogt	5407.11165498234	1.51833284184491	0.0785354176227092	19.3330969364563	2.82915054473382e-83	1.35044786001961e-80
Gas7	469.608537080628	-2.35138941924118	0.121684007402105	-19.3237342313276	3.3920165712736e-83	1.57864451227073e-80
Kank2	1245.49190149894	-1.71297573916338	0.0895069347919864	-19.1379108573467	1.22067263267664e-81	5.54244920241666e-79
Twf1	4435.32518005084	1.37985648144459	0.0721224913264673	19.1321244741613	1.36400518055441e-81	6.04579058123833e-79
Sdc1	954.258896912356	-1.72921038616446	0.0906045537190266	-19.0852480938973	3.34883087390138e-81	1.449810129036e-78
Ccny	3377.76625571906	-1.25002234740494	0.0659704379944468	-18.9482196178561	4.56777701760508e-80	1.9325849309031e-77
Trp53inp1	7655.27855372936	-1.56226566324346	0.0826580949985201	-18.900334725491	1.13331270946511e-79	4.68838875542279e-77
Thumpd1	1423.4332336547	1.44312496113894	0.0763845295389104	18.8928958501186	1.30487336598381e-79	5.28076577851186e-77
